STORE_NAME,longitude,latitude,ADDRESS,ADDRESS2,CITY,STATE,ZIP5,zip4,County,
"Food Lion 2213",-80.865814,35.594765,"516-10 RIVER HWY","","MOORESVILLE","NC","28117","","IREDELL" 
"FISH WING",-80.882446,35.216393,"1501 West Blvd","Ste G","Charlotte","NC","28208","7076","MECKLENBURG" 
"SUPERIOR GROCERIES",-79.808388,35.73597,"1505 N Fayetteville St","","Asheboro","NC","27203","3804","RANDOLPH" 
"MORVEN TRUCK STOP",-80.011215,34.883118,"6438 US Highway 52 S","","Morven","NC","28119","8300","ANSON" 
"GREENHILL STORE",-82.044556,35.41103,"2751 HWY 64/74 A WEST","","RUTHERFORDTON","NC","28139","","RUTHERFORD" 
"NORTHSIDE FOOD MARKET",-77.942421,34.241577,"601 Redcross St","","Wilmington","NC","28401","3556","NEW HANOVER" 
"Triad Meats",-79.804459,36.012768,"3023 Randleman Rd","","Greensboro","NC","27406","6610","GUILFORD" 
"SUPERMERCADO ESMERALDO II",-80.610672,36.489567,"746 Worth St","","Mount Airy","NC","27030","6686","SURRY" 
"DOLLAR GENERAL 6661",-81.207771,36.149826,"2818 W US Highway 421","","Wilkesboro","NC","28697","8698","WILKES" 
"DOLLAR GENERAL 6778",-77.372269,35.809254,"125 SMITH SPEIR LANE","","BETHEL","NC","27812","","PITT" 
"FOOD LION 2110",-76.241302,35.918999,"625 US Highway 64 E","","Columbia","NC","27925","8898","TYRRELL" 
"CVS Pharmacy 5559",-79.740044,36.49189,"625 S Van Buren Rd","","Eden","NC","27288","5319","ROCKINGHAM" 
"CVS 5595",-80.228622,36.102062,"589 N Martin Luther King Jr Dr","","Winston Salem","NC","27101","4330","FORSYTH" 
"DOLLAR GENERAL 6530",-78.215256,34.314075,"5 Cronly Dr","","Delco","NC","28436","9231","COLUMBUS" 
"DOLLAR GENERAL 6812",-81.644905,35.416405,"2507 W Stage Coach Trl","","Shelby","NC","28150","8817","CLEVELAND" 
"DOLLAR GENERAL 6396",-79.471542,35.16037,"1800 NC Highway 5","","Aberdeen","NC","28315","8640","MOORE" 
"DOLLAR GENERAL 6285",-78.251213,35.958523,"395 Main St","","Bunn","NC","27508","9711","FRANKLIN" 
"DOLLAR GENERAL 6684",-81.189735,35.812534,"6568 N NC 16 Hwy","","Conover","NC","28613","7413","CATAWBA" 
"FOOD LION 2608",-80.633873,35.106441,"7868 Idlewild Rd","","Indian Trail","NC","28079","8675","UNION" 
"PARKWAY EXPRESS",-80.278725,36.193199,"6116 University Pkwy","","Winston Salem","NC","27105","9689","FORSYTH" 
"FULL CIRCLE CRAB CO",-76.225685,35.918564,"1366 US Highway 64 E","","Columbia","NC","27925","8888","TYRRELL" 
"BRENTWOOD GROCERY 562019672",-79.977905,35.959782,"1804 Wade Pl","","High Point","NC","27260","5735","GUILFORD" 
"OM GROCERY",-79.800957,36.043514,"2300 Randleman Rd","","Greensboro","NC","27406","3604","GUILFORD" 
"XPRESS MART",-80.75769,35.20829,"3601 N Sharon Amity Rd","","Charlotte","NC","28205","5931","MECKLENBURG" 
"INTERNATIONAL FOOD MARKET",-78.740807,35.51334,"559 N Raleigh St","Ste G","Angier","NC","27501","9158","HARNETT" 
"DOLLAR GENERAL 0635",-78.475906,35.655384,"11665 US Highway 70 W","","Clayton","NC","27520","2266","JOHNSTON" 
"DOLLAR GENERAL 1832",-77.413223,34.750851,"1209 Hargett St","","Jacksonville","NC","28540","5934","ONSLOW" 
"DOLLAR GENERAL 3076",-77.077477,35.56728,"1802 W 5th St","","Washington","NC","27889","4006","BEAUFORT" 
"DOLLAR GENERAL 4777",-77.116455,36.44191,"914 W Main St","","Murfreesboro","NC","27855","1516","HERTFORD" 
"DOLLAR GENERAL 4818",-78.355743,35.249187,"359 Main St","","Newton Grove","NC","28366","7723","SAMPSON" 
"DOLLAR GENERAL 4849",-76.637459,34.732288,"1810 Live Oak St","","Beaufort","NC","28516","7905","CARTERET" 
"PATEL BROTHERS",-78.763245,35.791977,"802 E Chatham St","","Cary","NC","27511","6917","WAKE" 
"DON BECERRA",-78.889969,36.02,"2301 N Roxboro St","","Durham","NC","27704","4344","DURHAM" 
"DOLLAR GENERAL 2829",-80.60936,35.499714,"439 N Cannon Blvd","","Kannapolis","NC","28083","3824","CABARRUS" 
"DOLLAR GENERAL 6017",-78.713295,34.312996,"303 N Duval St","","Whiteville","NC","28472","3040","COLUMBUS" 
"DOLLAR GENERAL 6727",-80.182159,36.370754,"1045 Dodgetown Rd","","Walnut Cove","NC","27052","6452","STOKES" 
"DOLLAR GENERAL 8936",-78.096954,34.997913,"317 W College St","","Warsaw","NC","28398","1709","DUPLIN" 
"RANDY'S PRODUCE",-79.886848,36.073448,"5416A W Market St","","Greensboro","NC","27409","2507","GUILFORD" 
"MOUNTAIN VIEW GROCERY",-81.618881,35.511017,"5756 Casar Rd","","Casar","NC","28020","9799","CLEVELAND" 
