"CODEF","COFIPS","CONAME","FIPS","FIPSTXT","METRO","NUMPOV00","NUMPOV06","NUMPOV07","NUMPOV10","NUMPOV99","PC_POV07","POP00","POP01","POP02","POP03","POP04","POP05","POP06","POP07","POP08","POP09","POP10","PRG00_05","PRG05_07","PRG07_11","PRG89_93","PRG93_00","PRGBEN00","PRGBEN01","PRGBEN02","PRGBEN03","PRGBEN04","PRGBEN05","PRGBEN06","PRGBEN07","PRGBEN08","PRGBEN09","PRGBEN10","PRGBEN11","PRGBEN69","PRGBEN70","PRGBEN71","PRGBEN72","PRGBEN73","PRGBEN74","PRGBEN75","PRGBEN76","PRGBEN77","PRGBEN78","PRGBEN79","PRGBEN80","PRGBEN81","PRGBEN82","PRGBEN83","PRGBEN84","PRGBEN85","PRGBEN86","PRGBEN87","PRGBEN88","PRGBEN89","PRGBEN90","PRGBEN91","PRGBEN92","PRGBEN93","PRGBEN94","PRGBEN95","PRGBEN96","PRGBEN97","PRGBEN98","PRGBEN99","PRGNUM00","PRGNUM01","PRGNUM02","PRGNUM03","PRGNUM04","PRGNUM05","PRGNUM06","PRGNUM07","PRGNUM08","PRGNUM09","PRGNUM10","PRGNUM11","PRGNUM89","PRGNUM93","PRGNUM95","PRGNUM97","PRGNUM98","PRGNUM99","STATE_CD","STFIPS","URBCODE"
"CEN_BEA",25,"Cass County, NE",31025,31025,1,1574,1544,1604,"1787",1592,0.063,"24334","24524","24704","25011","25241","25363","25462","25520","25643","25485","25291","36.30%","-12.30%","-9993.00%","41.83%","-39.97%",675.000,726.000,813.000,911.000,1107.000,1173.000,1059.000,1083.900,1257.100,1955.200,2520.000,-9991,-9998,-9998,57,54,-9998,67,83,79,66,74,143,254,302,342,424,405,443,515.000,458.000,460.000,474.000,634,896,1013,1048,1064,1095,1099.000,1041,1025,874.000,"865","900","919","999","1108","1179","1042","1034","1079","1.459","1727","-9991","1016","1441","1362","1374","1328","992","NE",31,2
"CEN_BEA",69,"Garden County, NE",31069,31069,0,325,307,277,"321",311,0.152,"2292","2265","2210","2195","2109","1954","1934","1843","1783","1739","2065","8.65%","0.88%","-9993.00%","73.33%","-20.00%",57.000,66.000,72.000,83.000,86.000,103.000,116.000,119.500,142.100,246.600,272.900,-9991,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998.000,-9998.000,-9998.000,-9998.000,-9998,-9998,54,78,-9998,-9998,-9998.000,-9998,-9998,69.000,"104","126","120","126","114","113","107","114","122","184","187","-9991","75","130","9","22","125","95","NE",31,9
"CEN_BEA",73,"Gosper County, NE",31073,31073,0,163,184,169,"191",186,0.086,"2143","2073","2056","2068","2027","2004","1953","1960","1897","1844","2047","48.57%","17.31%","-9993.00%","23.33%","-5.41%",26.400,34.700,35.800,28.800,36.400,52.300,78.000,63.900,93.200,142.100,138.600,-9991,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,86.000,-9998.000,-9998.000,-9998.000,-9998,-9998,-9998,-9998,-9998,-9998,-9998.000,-9998,-9998,-9998.000,"35","46","45","34","38","52","75","61","80","106","95","-9991","30","37","9","13","42","32","NE",31,9
"CEN_BEA",113,"Logan County, NE",31113,31113,0,89,83,79,"96",93,0.106,"774","779","761","731","731","739","746","741","720","732","770","44.44%","-51.28%","-9993.00%","-71.88%","200.00%",20.400,13.600,8.000,28.000,9.600,39.200,54.000,19.900,57.100,89.800,99.200,-9991,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998.000,-9998.000,-9998.000,-9998.000,-9998,-9998,-9998,-9998,-9998,-9998,-9998.000,-9998,-9998,-9998.000,"27","18","10","33","10","39","52","19","49","67","68","-9991","32","9","3","0","32","29","NE",31,9
"CEN_BEA",137,"Phelps County, NE",31137,31137,0,833,898,897,"894",902,0.098,"9747","9695","9662","9538","9484","9338","9328","9134","9107","9032","9199","69.82%","-17.77%","-9993.00%","10.10%","-16.81%",267.000,281.000,320.000,412.000,548.000,557.000,548.000,557.700,658.300,826.800,1021.400,-9991,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,51,70,84,86,88,96,105,173.000,131.000,132.000,136.000,232,233,252,281,277,273,274.000,294,272,263.000,"381","416","436","568","660","647","621","532","565","617","700","-9991","416","458","436","421","431","394","NE",31,7
"CEN_BEA",181,"Webster County, NE",31181,31181,0,395,473,473,"441",410,0.131,"4061","3982","3890","3830","3784","3696","3601","3574","3471","3431","3809","92.59%","-11.06%","-9993.00%","-2.38%","-47.32%",80.000,77.000,80.000,82.000,125.000,155.000,171.000,193.900,220.200,394.000,499.000,-9991,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,55,64,87,84,92,104.000,85.000,85.000,88.000,124,111,114,129,102,107,97.000,96,85,76.000,"108","102","122","104","149","208","191","185","189","294","342","-9991","210","205","146","149","122","116","NE",31,9
"CEN_BEA",5,"Burlington County, NJ",34005,34005,1,21225,25191,21750,"25008",21995,0.049,"423394","429655","436318","442581","446041","446462","447131","446314","445492","446108","449149","47.02%","8.19%","114.35%","88.77%","-47.30%",6604.000,6914.000,7623.000,9089.000,10356.000,12224.500,12688.800,14080.500,16823.600,27666.500,37783.200,-9991,95,940,1424,1826,2014,3696,5382,5825,5461,5026,6112,7738,9849,8586,8205,6952,7082,6053.000,4169.000,4476.000,5121.000,6470,8996,11092,12121,12673,12456,12371.000,10110,8739,7798.000,"7590","7994","8407","9839","10675","11159","11312","12073","13822","18.435","22811","25.879","7630","14403","13852","10721","9783","8875","NJ",34,1
"CEN_BEA",17,"Hudson County, NJ",34017,34017,1,82709,89081,81698,"103576",82983,0.138,"608975","612526","607992","603469","599929","596488","592174","589377","592111","597924","635294","17.80%","5.50%","70.64%","42.92%","-36.30%",43995.000,41583.000,43812.000,48151.000,55029.000,59769.700,62858.700,67133.200,75790.000,111734.600,152297.400,-9991,1425,2875,4608,5025,5503,12054,17768,17675,18808,22226,26995,32828,40330,39074,38776,35031,33959,34675.000,31176.000,31652.000,35110.000,44469,55200,61716,65681,68208,70991,72347.000,62520,52232,48902.000,"46316","43636","44407","48853","51643","54560","56038","57562","62268","74.452","91947","98.222","50874","72708","75091","64117","53945","49774","NJ",34,1
"CEN_BEA",31,"Passaic County, NJ",34031,34031,1,54541,69996,64765,"7691",56218,0.132,"489049","492574","493054","492259","490527","489211","487544","487067","488364","491778","50186","45.70%","12.50%","69.39%","80.24%","-15.29%",29890.000,30339.000,33709.000,38318.000,44496.000,51304.800,55500.200,61450.000,72737.400,104313.300,136770.700,-9991,230,547,1357,2083,2689,5363,8043,9638,10087,10304,13364,16586,21046,20272,20927,19539,17721,18160.000,14476.000,14008.000,12432.000,17476,22883,27611,31451,33843,36156,36507.000,31271,30983,32383.000,"32144","32219","34688","38835","43731","46833","49478","52689","59760","69.507","82573","89.249","21052","37944","39893","31669","32573","33653","NJ",34,1
"CEN_BEA",39,"Union County, NJ",34039,34039,1,40470,41818,41463,"58007",42749,0.079,"522541","525510","526154","525048","523635","521987","520285","519738","521816","526426","537661","16.87%","4.40%","87.02%","67.10%","-38.95%",17081.000,16923.000,18330.000,19766.000,22366.000,23724.900,24494.900,26369.500,29882.500,44842.700,63385.600,-9991,389,1010,1886,2428,3134,5568,8553,9288,9040,8772,9762,11261,14697,14208,14114,12857,11079,13209.000,11336.000,11465.000,12599.000,15803,20341,24232,27051,28555,29750,29291.000,25341,20834,19636.000,"18531","17987","19084","20108","21850","21657","21837","22610","24551","29.88","38268","42.286","18166","30356","31351","24716","21240","20444","NJ",34,1
